hgnc_id,effect_allele_frequency
HGNC:26948,0.000483642
HGNC:9670,0.000163927
HGNC:22978,4.65041e-05
HGNC:10866,0.000139512
HGNC:727,5.58049e-05
HGNC:16853,8.95203e-05
HGNC:3004,0.000195317
HGNC:861,0.000420862
HGNC:925,6.51057e-05
HGNC:11056,0.000224382
HGNC:28688,0.000113935
HGNC:18830,0.000376683
HGNC:18291,0.000230195
HGNC:17276,0.000229032
HGNC:25552,1.97642e-05
HGNC:26186,7.20813e-05
HGNC:34345,0.000694073
HGNC:6393,0.000145325
HGNC:17106,0.000547585
HGNC:2154,0.000203455
HGNC:32315,0.00427372
HGNC:27145,0.000145325
HGNC:9586,0.000755691
HGNC:3259,4.76667e-05
HGNC:26117,0.000206943
HGNC:12591,0.000113935
HGNC:29299,0.000167415
HGNC:28242,0.000202293
HGNC:7527,0.000447602
HGNC:15954,0.000308089
HGNC:11732,0.000430163
HGNC:24525,0.00152185
HGNC:9352,0.000101146
HGNC:380,0.000494106
HGNC:7644,7.55691e-05
HGNC:26574,0.004147
HGNC:28843,0.000176715
HGNC:28035,0.00011626
HGNC:6108,0.000263911
HGNC:19035,0.00204734
HGNC:8981,0.00493408
HGNC:20657,0.000286
HGNC:19139,0.000582463
HGNC:32327,5.23171e-05
HGNC:9826,0.000735927
HGNC:16917,5.58049e-05
HGNC:12590,4.06911e-05
HGNC:31802,0.000626642
HGNC:3553,0.000308089
HGNC:19026,6.39431e-05
HGNC:26488,0.000476667
HGNC:7110,0.000182528
HGNC:29800,0.000226707
HGNC:18803,0.000168577
HGNC:29589,0.00045574
HGNC:29051,0.00016974
HGNC:2644,0.000930081
HGNC:2642,0.000561536
HGNC:20244,0.000401097
HGNC:20583,0.000462715
HGNC:20575,0.000434813
HGNC:16887,0.000180203
HGNC:11556,0.00280885
HGNC:10879,0.000223219
HGNC:18170,3.25528e-05
HGNC:3808,0.000154626
HGNC:3803,0.000163927
HGNC:44200,4.41789e-05
HGNC:22146,0.000845211
HGNC:18309,0.000225545
HGNC:25892,0.000262748
HGNC:25668,0.00020578
HGNC:3315,1.1626e-05
HGNC:13908,1.51138e-05
HGNC:3578,9.18455e-05
HGNC:1789,1.04634e-05
HGNC:28096,0.00958216
HGNC:10056,9.30081e-06
HGNC:18657,0.000249959
HGNC:3419,0.000160439
HGNC:16386,0.000126724
HGNC:7995,0.000197642
HGNC:9778,8.13821e-05
HGNC:24626,0.000269724
HGNC:25160,0.000897528
HGNC:30547,1.39512e-05
HGNC:6775,8.60325e-05
HGNC:29386,0.00180668
HGNC:8487,0.000292976
HGNC:25930,2.3252e-05
HGNC:28981,6.04553e-05
HGNC:4559,0.00887995
HGNC:28757,0.000353431
HGNC:25716,5.81301e-05
HGNC:25820,8.83577e-05
HGNC:32058,0.00447834
HGNC:23408,0.00537587
HGNC:10606,0.00025461
HGNC:23174,0.000492943
HGNC:10945,0.00025926
HGNC:2330,0.000361569
HGNC:26059,0.000211593
HGNC:6815,1.51138e-05
HGNC:6700,0.000117423
HGNC:13913,5.11545e-05
HGNC:29525,0.000204618
HGNC:25525,8.95203e-05
HGNC:25231,0.00136489
HGNC:2883,0.000473179
HGNC:25019,0.000124398
HGNC:28792,0.000735927
HGNC:32069,0.000294138
HGNC:1239,0.000403423
HGNC:26494,7.67317e-05
HGNC:27297,0.00353663
HGNC:32220,0.000311577
HGNC:14034,0.000347618
HGNC:15674,8.13821e-06
HGNC:18156,0.00432488
HGNC:25032,0.00118934
HGNC:24802,0.000556886
HGNC:12394,0.000244146
HGNC:30563,0.000120911
HGNC:26067,0.000202293
HGNC:26854,0.0114551
HGNC:2859,0.000190667
HGNC:27296,3.13902e-05
HGNC:16512,0.00068361
HGNC:20001,0.000791732
HGNC:12623,0.000123236
HGNC:9229,9.30081e-06
HGNC:9377,0.000212756
HGNC:27295,0.00383193
HGNC:1352,0.00046039
HGNC:1353,0.00234032
HGNC:2661,8.60325e-05
HGNC:11530,9.76585e-05
HGNC:29401,0.000472016
HGNC:25610,0.00447369
HGNC:19884,0.000270886
HGNC:2634,0.000497593
HGNC:28547,0.000608041
HGNC:7784,0.000140675
HGNC:24142,0.000129049
HGNC:28881,0.000912642
HGNC:25595,0.00121841
HGNC:27263,0.00980887
HGNC:12607,6.62683e-05
HGNC:19190,0.000249959
HGNC:491,0.00104285
HGNC:16040,0.00377032
HGNC:3804,6.62683e-05
HGNC:23157,0.000187179
HGNC:6157,0.00120678
HGNC:29379,0.000727788
HGNC:8905,0.000368545
HGNC:10256,6.16179e-05
HGNC:28559,0.000589439
HGNC:29314,0.00101728
HGNC:25577,0.000199967
HGNC:6190,5.69675e-05
HGNC:363,7.09187e-05
HGNC:15469,0.000113935
HGNC:29477,7.55691e-05
HGNC:6554,0.000288325
HGNC:8781,9.64959e-05
HGNC:25412,0.000148813
HGNC:26882,0.000125561
HGNC:6088,0.000123236
HGNC:26252,0.00119167
HGNC:29657,0.000282512
HGNC:20800,0.000155789
HGNC:32044,0.00048248
HGNC:19100,0.000149976
HGNC:5972,0.00063013
HGNC:17860,2.3252e-05
HGNC:4095,2.09268e-05
HGNC:19663,1.51138e-05
HGNC:687,4.65041e-05
HGNC:30238,0.000234845
HGNC:10294,0.000239496
HGNC:22949,0.000360406
HGNC:18531,0.000523171
HGNC:26004,0.000385984
HGNC:10782,0.000476667
HGNC:25374,3.25528e-05
HGNC:4906,0.000158114
HGNC:2501,0.000297626
HGNC:9595,0.00986932
HGNC:13058,7.67317e-05
HGNC:17302,4.41789e-05
HGNC:28318,0.00347734
HGNC:3825,0.00105448
HGNC:42952,0.00252052
HGNC:19661,0.00238217
HGNC:25346,0.000870788
HGNC:2419,0.00143465
HGNC:24757,0.000159276
HGNC:28838,3.95284e-05
HGNC:28524,0.000277862
HGNC:89,0.000376683
HGNC:9796,9.30081e-05
HGNC:7327,0.000716162
HGNC:19769,0.000155789
HGNC:19343,6.39431e-05
HGNC:19342,7.90569e-05
HGNC:8965,0.000218569
HGNC:365,7.55691e-05
HGNC:24523,0.000130211
HGNC:20059,9.18455e-05
HGNC:24741,0.00153115
HGNC:29557,0.000392959
HGNC:4004,8.02195e-05
HGNC:14886,8.48699e-05
HGNC:18177,0.000346455
HGNC:9600,5.46423e-05
HGNC:17817,0.00761736
HGNC:16938,0.000422024
HGNC:20822,0.000477829
HGNC:18582,0.000219732
HGNC:26242,0.000120911
HGNC:9381,0.000246472
HGNC:24582,0.000212756
HGNC:28875,0.000503406
HGNC:30350,0.000478992
HGNC:2496,0.000322041
HGNC:16509,0.000405748
HGNC:14298,6.62683e-05
HGNC:13357,0.000161602
HGNC:13358,0.000387146
HGNC:30711,0.000466203
HGNC:25841,0.000501081
