ensg,beta,standard_error,effect_allele_frequency
ENSG00000169914,-0.225931,0.144096,0.000226985
ENSG00000188784,0.03237,0.0993199,0.000478118
ENSG00000188257,-0.114658,0.158194,0.000188349
ENSG00000127472,0.0788558,0.273907,6.27831e-05
ENSG00000117215,0.0825109,0.154284,0.000198008
ENSG00000158786,-0.0233387,0.119802,0.000328404
ENSG00000187980,-0.0444314,0.373426,3.38063e-05
ENSG00000162543,0.0476768,0.0330316,0.00432721
ENSG00000158816,0.0314807,0.0828003,0.000690614
ENSG00000090432,0.0967218,0.285118,5.79537e-05
ENSG00000183114,0.0607305,0.297828,5.31242e-05
ENSG00000158825,0.192886,0.312307,4.82947e-05
ENSG00000158828,-0.0955522,0.11187,0.000376699
ENSG00000244038,0.0078467,0.149002,0.000212497
ENSG00000117245,0.0542736,0.101371,0.0004588
ENSG00000189410,0.219196,0.160238,0.00018352
ENSG00000127483,0.116894,0.297799,5.31242e-05
ENSG00000075151,0.00756589,0.158288,0.000188349
ENSG00000117298,0.239745,0.246928,7.72715e-05
ENSG00000142794,0.00802734,0.0389325,0.00311984
ENSG00000162551,-0.0937303,0.0742986,0.000845157
ENSG00000076864,0.00985933,0.0739137,0.000864475
ENSG00000090686,-0.0671075,0.171938,0.000159373
ENSG00000187942,0.0783821,0.139719,0.000241474
ENSG00000142798,0.101119,0.0767309,0.000801692
ENSG00000219073,0.0138548,0.109943,0.000391187
ENSG00000142789,0.164687,0.102455,0.000439482
ENSG00000162552,-0.0895677,0.210594,0.000106248
ENSG00000184677,0.00109112,0.106552,0.000415335
ENSG00000070886,0.0215511,0.122531,0.000313916
ENSG00000173372,-0.389211,0.329204,4.34652e-05
ENSG00000159189,-0.473698,0.232807,8.69305e-05
ENSG00000173369,0.0647982,0.32933,4.34652e-05
ENSG00000133216,-0.0303985,0.126544,0.000294598
ENSG00000215906,0.0234717,0.0715828,0.000922429
ENSG00000227868,-0.258947,0.35006,3.86358e-05
ENSG00000004487,0.125935,0.17742,0.000149714
ENSG00000169641,-0.0924294,0.145637,0.000222156
ENSG00000179546,0.0964965,0.239543,8.2101e-05
ENSG00000125945,0.202041,0.201697,0.000115907
ENSG00000204219,-0.00326071,0.158178,0.000188349
ENSG00000088280,0.15023,0.109102,0.000396017
ENSG00000007968,0.313301,0.183463,0.000140055
ENSG00000117318,-0.333224,0.255001,7.24421e-05
ENSG00000011007,0.0362324,0.154292,0.000198008
ENSG00000057757,0.490737,0.312307,4.82947e-05
ENSG00000011009,-0.137495,0.118102,0.000338063
ENSG00000117308,0.198523,0.220877,9.65894e-05
ENSG00000117305,-0.128677,0.162407,0.00017869
ENSG00000179163,-0.0422273,0.130875,0.00027528
ENSG00000188822,-0.0545857,0.116477,0.000347722
ENSG00000189266,-0.19931,0.273939,6.27831e-05
ENSG00000188529,-0.122766,0.441771,2.41474e-05
ENSG00000142661,-0.0230892,0.0358398,0.00367523
ENSG00000142677,0.0116295,0.226628,9.176e-05
ENSG00000185436,0.303994,0.171984,0.000159373
ENSG00000158055,-0.0195062,0.104756,0.000429823
ENSG00000001460,0.0457223,0.118083,0.000338063
ENSG00000001461,-0.029924,0.164656,0.000173861
ENSG00000117602,-0.0132905,0.177402,0.000149714
ENSG00000184454,-0.0482223,0.246959,7.72715e-05
ENSG00000133226,0.482264,0.232808,8.69305e-05
ENSG00000169504,0.144732,0.373259,3.38063e-05
ENSG00000117614,-0.257613,0.220861,9.65894e-05
ENSG00000117616,0.133553,0.103036,0.000444311
ENSG00000187010,0.56504,0.255004,6.27831e-05
ENSG00000183726,0.442882,0.263965,6.76126e-05
ENSG00000188672,0.0320214,0.171961,0.000159373
ENSG00000157978,-0.308519,0.201608,0.000115907
ENSG00000117643,0.0641503,0.215545,0.000101419
ENSG00000162430,-0.182877,0.101912,0.00045397
ENSG00000117640,-0.047675,0.0866899,0.000627831
ENSG00000127423,-0.0238491,0.0262316,0.00693512
ENSG00000182749,-0.0260133,0.137003,0.000251133
ENSG00000158006,-0.0372086,0.0974062,0.000497436
ENSG00000158008,-0.0630206,0.0457088,0.00226502
ENSG00000158014,-0.39757,0.215542,0.000101419
ENSG00000158022,-0.0542697,0.0710095,0.000936917
ENSG00000175087,-0.0376778,0.403162,2.89768e-05
ENSG00000197245,0.179762,0.34921,3.86358e-05
ENSG00000282872,0.0524874,0.22085,9.65894e-05
ENSG00000142684,-0.00398722,0.177421,0.000149714
ENSG00000142675,-0.0469431,0.0690913,0.000990042
ENSG00000188782,-0.00498397,0.0666605,0.00106248
ENSG00000130695,-0.0327741,0.0950813,0.000521583
ENSG00000142669,-0.045809,0.0325131,0.0045059
ENSG00000158062,-0.0372062,0.0299377,0.00528344
ENSG00000176092,-0.0557768,0.0690777,0.000990042
ENSG00000176083,-0.120358,0.112594,0.000371869
ENSG00000198830,0.169742,0.285202,4.82947e-05
ENSG00000117676,-0.166842,0.263966,5.79537e-05
ENSG00000117713,0.0826385,0.120694,0.000323575
ENSG00000060642,0.205632,0.10086,0.000463629
ENSG00000204160,-0.13659,0.128576,0.000864475
ENSG00000142751,-0.161046,0.169391,0.000164202
ENSG00000198746,0.144824,0.0734763,0.000874134
ENSG00000131910,0.053166,0.197578,0.000120737
ENSG00000090273,-0.0084764,0.403166,2.89768e-05
ENSG00000175707,-0.117325,0.255001,7.24421e-05
ENSG00000253368,0.470768,0.349238,3.86358e-05
ENSG00000158246,-0.380324,0.285103,5.79537e-05
ENSG00000090020,-0.120591,0.171958,0.000159373
ENSG00000142784,-0.551394,0.373298,3.38063e-05
ENSG00000186501,0.0594148,0.215554,0.000101419
ENSG00000142765,0.0328015,0.0769865,0.000796863
ENSG00000142733,0.0366179,0.0307516,0.00502265
ENSG00000142748,-0.0281213,0.0403124,0.00290734
ENSG00000174950,0.127661,0.226598,9.176e-05
ENSG00000181773,0.338721,0.373269,3.38063e-05
ENSG00000158195,0.012291,0.312302,4.82947e-05
ENSG00000126705,0.00257166,0.0343468,0.00402778
ENSG00000000938,-0.570441,0.285094,5.79537e-05
ENSG00000126709,0.0932067,0.255021,7.24421e-05
ENSG00000009780,-0.326417,0.285464,5.79537e-05
ENSG00000117758,-0.222424,0.31237,4.82947e-05
ENSG00000130775,-0.0712125,0.138333,0.000246303
ENSG00000117748,-0.0860133,0.0251108,0.00754846
ENSG00000130768,-0.0856108,0.0826555,0.000690614
ENSG00000158156,-0.0823454,0.246913,7.72715e-05
ENSG00000158161,0.0418865,0.177411,0.000149714
ENSG00000169403,0.428657,0.329362,4.34652e-05
ENSG00000126698,-0.233048,0.26399,6.76126e-05
ENSG00000130770,0.0190055,0.273932,6.27831e-05
ENSG00000130766,0.123647,0.180335,0.000144884
ENSG00000130772,-0.126558,0.226623,9.176e-05
ENSG00000204138,0.0311558,0.124472,0.000304257
ENSG00000180198,0.00412075,0.150642,0.000207667
ENSG00000180098,0.498483,0.186656,0.000135225
ENSG00000188060,0.265458,0.226608,9.176e-05
ENSG00000120656,-0.226435,0.441733,2.41474e-05
ENSG00000162419,-0.00703755,0.329195,4.34652e-05
